"341,01",5,5,10,BET,Entrada,Odd,P60,Media Movel 60,Acertos 60,Media Geral,,,Odd,P120,Media Movel 120,,Odd,P180,Media Movel 180,,Odd,P240,Media Movel 240,,Odd,P300,Media Movel 300,,Odd,P360,Media Movel 360,,Odd,P420,,,Odd,P480,,,Odd,P540,,,Odd,P600,,
94,"450,61",-10,0,0,"1,6",0,0,"-0,1500",-9,"-0,2842","0,0030",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
95,"450,61",0,1,0,"2,72",0,0,"-0,1500",-9,"-0,2813","0,0030",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
96,"450,61",-10,0,0,"1,58",0,-10,"-0,1500",-9,"-0,2784","0,0029",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
97,"450,61",-10,0,0,"1,45",0,1,"0,0167",1,"-0,2755","0,0028",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
98,"450,61",0,1,1,"2,34",0,0,"0,0000",0,"-0,2727","0,0028",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
99,"450,61",-10,0,0,"1,09",0,0,"0,0000",0,"-0,2700","0,0027",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
100,"450,61",0,1,0,"2,14",0,0,"0,0000",0,"-0,2673","0,0027",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
101,"450,61",-10,0,0,"1,71",0,0,"0,0000",0,"-0,2647","0,0026",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
102,"450,61",0,1,0,"2,29",0,1,"0,0000",0,"-0,2621","0,0026",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
103,"450,61",0,1,0,"2,66",0,0,"-0,0167",-1,"-0,2596","0,0025",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
104,"450,61",-10,0,0,"1,63",0,0,"-0,0167",-1,"-0,2571","0,0025",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
105,"450,61",0,1,0,"2,55",0,1,"-0,0167",-1,"-0,2547","0,0024",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
106,"450,61",15,2,0,"6,97",1,1,"-0,0333",-2,"-0,2430","0,0117",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
107,"450,61",-10,0,0,"1,14",0,0,"-0,0333",-2,"-0,2407","0,0022",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
108,"450,61",-10,0,0,"1,44",0,0,"-0,0333",-2,"-0,2385","0,0022",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
109,"450,61",15,2,0,"3,21",1,0,"-0,0333",-2,"-0,2273","0,0113",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
110,"450,61",0,1,0,"2,56",0,0,"-0,0167",-1,"-0,2252","0,0020",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
111,"450,61",-10,0,0,"1,49",0,0,"-0,0167",-1,"-0,2232","0,0020",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
112,"450,61",-10,0,0,"1,33",0,-10,"-0,0167",-1,"-0,2212","0,0020",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
113,"450,61",-10,0,0,"1,41",0,1,"0,1500",9,"-0,2193","0,0019",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
114,"450,61",0,1,0,"2,73",0,0,"0,1333",8,"-0,2174","0,0019",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
115,"450,61",0,1,0,"2,18",0,0,"0,1333",8,"-0,2155","0,0019",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
116,"450,61",15,2,0,"19,74",5,0,"0,1333",8,"-0,1709","0,0446",,5,,,,5,,,,5,,,0,5,,,,5,,,"0,0000",5,,,,5,,,0,5,,,0,5,,,0
117,"440,61",-10,0,1,"1,21",0,0,"0,2167",13,"-0,1695","0,0014",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
118,"430,61",-10,0,1,"1,31",0,0,"0,2167",13,"-0,1681","0,0014",,0,,,,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
119,"430,61",15,2,0,"7,28",1,0,"0,2167",13,"-0,1583","0,0097",,1,,,,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
120,"430,61",15,2,0,"5,68",1,0,"0,2333",14,"-0,1488","0,0096",,1,0,"-0,1583",,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
121,"430,61",-10,0,0,"1,65",0,0,"0,2500",15,"-0,1475","0,0012",,0,0,"-0,1500",,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
122,"430,61",-10,0,0,"1,03",0,0,"0,2500",15,"-0,1463","0,0012",,0,1,"-0,1500",,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
123,"430,61",-10,0,0,1,-10,0,"0,2500",15,"-0,2258","-0,0795",,-10,0,"-0,1583",,-10,,,,-10,,,0,-10,,,,-10,,,"0,0000",-10,,,,-10,,,0,-10,,,0,-10,,,0
124,"430,61",15,2,0,"7,87",1,1,"0,0833",5,"-0,2160","0,0098",,1,0,"-0,2417",,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
125,"430,61",0,1,0,"2,21",0,0,"0,0833",5,"-0,2143","0,0017",,0,0,"-0,2333",,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
126,"430,61",15,2,0,"8,42",1,1,"0,0833",5,"-0,2047","0,0096",,1,0,"-0,2333",,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
127,"430,61",15,2,0,"9,51",1,1,"0,0833",5,"-0,1953","0,0094",,1,-10,"-0,2250",,1,,,,1,,,0,1,,,,1,,,"0,0000",1,,,,1,,,0,1,,,0,1,,,0
128,"430,61",-10,0,0,"1,19",0,1,"0,0833",5,"-0,1938","0,0015",,0,0,"-0,1333",,0,,,,0,,,0,0,,,,0,,,"0,0000",0,,,,0,,,0,0,,,0,0,,,0
