,Odd,Odd_Categoria,odd_entrada
924,1.53,5,7.0
925,7.6,10,5.0
926,1.45,5,10.0
927,4.44,9,5.0
928,1.52,5,9.0
929,6.97,10,5.0
930,1.39,4,10.0
931,1.51,5,4.0
932,2.25,7,5.0
933,1.16,3,7.0
934,6.19,10,3.0
935,1.06,2,10.0
936,1.53,5,2.0
937,1.38,4,5.0
938,1.21,3,4.0
939,8.94,10,3.0
940,1.22,3,10.0
941,1.16,3,3.0
942,1467.92,11,3.0
943,1.26,3,11.0
944,2.11,7,3.0
945,4.86,9,7.0
946,1.92,6,9.0
947,126.34,11,6.0
948,1.24,3,11.0
949,1.17,3,3.0
950,1.14,2,3.0
951,1.15,3,2.0
952,1.59,5,3.0
953,5.1,10,5.0
954,20.65,11,10.0
955,1.05,2,11.0
956,1.07,2,2.0
957,2.62,8,2.0
958,1.2,3,8.0
959,14.74,11,3.0
960,1.0,1,11.0
961,1.35,4,1.0
962,2.39,7,4.0
963,1.96,6,7.0
964,5.75,10,6.0
965,2.5,7,10.0
966,1.43,4,7.0
967,13.29,11,4.0
968,1.88,6,11.0
969,1.66,5,6.0
970,1.63,5,5.0
971,1.92,6,5.0
972,5.7,10,6.0
973,13.97,11,10.0
974,1.66,5,11.0
975,2.83,8,5.0
976,2.2,7,8.0
977,1.87,6,7.0
978,1.04,1,6.0
979,9.16,10,1.0
980,9.71,10,10.0
981,1.14,2,10.0
982,1.33,4,2.0
983,2.1,7,4.0
984,1.33,4,7.0
985,2.55,7,4.0
986,1.59,5,7.0
987,2.53,7,5.0
988,1.82,6,7.0
989,5.42,10,6.0
990,1.0,1,10.0
991,5.47,10,1.0
992,1.93,6,10.0
993,2.59,7,6.0
994,18.75,11,7.0
995,7.91,10,11.0
996,6.19,10,10.0
997,3.49,8,10.0
998,3.68,9,8.0
999,2.65,8,9.0
1000,9.91,10,8.0
1001,3.07,8,10.0
1002,1.01,1,8.0
1003,3.74,9,1.0
1004,1.14,2,9.0
1005,1.34,4,2.0
1006,1.13,2,4.0
1007,1.36,4,2.0
1008,2.15,7,4.0
1009,1.06,2,7.0
1010,2.3,7,2.0
1011,1.45,5,7.0
1012,2.55,7,5.0
1013,4.04,9,7.0
1014,1.7,6,9.0
1015,1.3,4,6.0
1016,48.69,11,4.0
1017,1.59,5,11.0
1018,7.77,10,5.0
1019,1.09,2,10.0
1020,5.27,10,2.0
1021,2.05,6,10.0
1022,1.35,4,6.0
1023,2.02,6,4.0
1024,6.66,10,6.0
1025,1.92,6,10.0
1026,1.04,1,6.0
1027,1.1,2,1.0
1028,6.49,10,2.0
1029,1.07,2,10.0
1030,1.13,2,2.0
1031,3.84,9,2.0
1032,1.1,2,9.0
1033,1.6,5,2.0
1034,50.26,11,5.0
1035,3.76,9,11.0
1036,1.3,4,9.0
1037,2.67,8,4.0
1038,1.38,4,8.0
1039,7.66,10,4.0
1040,4.9,9,10.0
1041,1.15,3,9.0
1042,1.14,2,3.0
1043,1.33,4,2.0
1044,1.13,2,4.0
1045,1.05,2,2.0
1046,7.79,10,2.0
1047,1.29,3,10.0
1048,1.59,5,3.0
1049,1.07,2,5.0
1050,1.53,5,2.0
1051,0.0,1,5.0
1052,1.32,4,1.0
1053,3.73,9,4.0
1054,1.08,2,9.0
1055,1.56,5,2.0
1056,7.87,10,5.0
1057,1.01,1,10.0
1058,1.04,1,1.0
1059,1.16,3,1.0
1060,287.91,11,3.0
1061,1.41,4,11.0
1062,1.13,2,4.0
1063,9.78,10,2.0
1064,25.2,11,10.0
1065,1.12,2,11.0
1066,28.45,11,2.0
1067,1.69,5,11.0
1068,2.01,6,5.0
1069,1.53,5,6.0
1070,4.4,9,5.0
1071,2.86,8,9.0
1072,1.08,2,8.0
1073,1.02,1,2.0
1074,1.34,4,1.0
1075,1.62,5,4.0
1076,1.33,4,5.0
1077,3.25,8,4.0
1078,1.38,4,8.0
1079,2.02,6,4.0
1080,3.03,8,6.0
1081,1.18,3,8.0
1082,1.15,3,3.0
1083,1.03,1,3.0
1084,2.67,8,1.0
1085,2.98,8,8.0
1086,1.16,3,8.0
1087,2.74,8,3.0
1088,24.37,11,8.0
1089,2.61,8,11.0
1090,2.77,8,8.0
1091,1.95,6,8.0
1092,2.87,8,6.0
1093,2.06,6,8.0
1094,1.4,4,6.0
1095,2.08,6,4.0
1096,1.77,6,6.0
1097,1.52,5,6.0
1098,1.44,4,5.0
1099,5.09,10,4.0
1100,3.72,9,10.0
1101,965.78,11,9.0
1102,1.04,1,11.0
1103,1.29,3,1.0
1104,1.27,3,3.0
1105,1.01,1,3.0
1106,16.53,11,1.0
1107,2.59,7,11.0
1108,3.22,8,7.0
1109,1.4,4,8.0
1110,1.05,2,4.0
1111,2.1,7,2.0
1112,1.24,3,7.0
1113,1.03,1,3.0
1114,2.04,6,1.0
1115,19.38,11,6.0
1116,3.08,8,11.0
1117,2.05,6,8.0
1118,1.02,1,6.0
1119,1.54,5,1.0
1120,12.13,11,5.0
1121,7.43,10,11.0
1122,1.1,2,10.0
1123,47.95,11,2.0
1124,1.18,3,11.0
1125,1.06,2,3.0
1126,1.09,2,2.0
1127,1.1,2,2.0
1128,7.58,10,2.0
1129,2.34,7,10.0
1130,1.18,3,7.0
1131,1.04,1,3.0
1132,1.79,6,1.0
1133,9.08,10,6.0
1134,7.24,10,10.0
1135,4.41,9,10.0
1136,1.95,6,9.0
1137,3.76,9,6.0
1138,1.91,6,9.0
1139,5.33,10,6.0
1140,1.3,4,10.0
1141,2.5,7,4.0
1142,46.04,11,7.0
