t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,,,PEARSON,DIFF_PEARSON,,,,,RATING1,RATING2,RATING3,,,
551,"1,79",0,"0,5444646098",0,"0,44646098",0,"0,3557168784",0,"0,2577132486",0,"0,1742286751",0,"0,0943738657",0,"0,04718693285",0,"0,0108892922",0,"0,4333333333","0,4986320084",0,0,"0,9152202581","-0,001497804116","-0,2055432132","-0,003923676431","-0,05304407447","-0,0001089527862","0,05","0,01666666667","0,01666666667","-0,01666666667","-0,03333333333","-0,08333333333"
552,"1,18",1,"0,5452898551",0,"0,4456521739",0,"0,3550724638",0,"0,2572463768",0,"0,1739130435",0,"0,09420289855",0,"0,04710144928",0,"0,01086956522",0,"0,4333333333","0,4986320084",1,1,"0,914603683","-0,0006165750923","-0,1939845137","-0,003690764132","-0,04024592545","-0,00008225411356","0,03333333333","0,01666666667","0,03333333333","-0,01666666667","-0,03333333333","-0,08333333333"
553,"4,43",0,"0,5443037975",0,"0,4448462929",0,"0,3544303797",0,"0,2567811935",0,"0,1735985533",0,"0,09403254973",0,"0,04701627486",0,"0,01084990958",0,"0,4333333333","0,4986320084",0,1,"0,9139428683","-0,0006608147542","-0,182387808","-0,003457851832","-0,02732620149","-0,00005555544088","0,03333333333","0,03333333333","0,03333333333",0,"-0,03333333333","-0,1"
554,"13,67",1,"0,5451263538",1,"0,4458483755",1,"0,3555956679",1,"0,2581227437",0,"0,1732851986",0,"0,09386281588",0,"0,04693140794",0,"0,01083032491",1,"0,4333333333","0,5008190014",0,1,"0,9104499061","-0,003492962153","-0,1754305373","-0,003327958434","-0,00748554671","-0,00001522288774","0,01666666667","0,05","0,03333333333","-0,01666666667","-0,03333333333","-0,1"
555,"1,24",1,"0,5459459459",1,"0,4468468468",1,"0,3567567568",1,"0,2594594595",1,"0,1747747748",1,"0,0954954955",0,"0,04684684685",0,"0,01081081081",1,"0,45","0,5024529992",0,1,"0,9077240978","-0,002725808346","-0,1598929933","-0,003032338977","0,0198400803","0,00004047916922","0,03333333333","0,06666666667","0,05",0,"-0,03333333333","-0,08333333333"
556,"1,2",0,"0,5449640288",0,"0,4460431655",0,"0,3561151079",0,"0,2589928058",0,"0,1744604317",0,"0,09532374101",0,"0,04676258993",0,"0,01079136691",0,"0,4666666667","0,5024529992",0,0,"0,9077240978",0,"-0,1598929933","-0,003032338977","0,0198400803","0,00004047916922","0,03333333333","0,1","0,06666666667","0,03333333333","-0,01666666667","-0,05"
557,"1,29",0,"0,5439856373",0,"0,4452423698",0,"0,355475763",0,"0,2585278276",0,"0,1741472172",0,"0,09515260323",0,"0,04667863555",0,"0,01077199282",0,"0,45","0,5008190014",0,1,"0,9076152722","-0,000108825563","-0,17835662","-0,003359312013","-0,00659201283","-0,00001329308052","0,01666666667","0,06666666667","0,05",0,"-0,03333333333","-0,05"
558,"1,41",0,"0,5430107527",0,"0,4444444444",0,"0,3548387097",0,"0,2580645161",0,"0,1738351254",0,"0,09498207885",0,"0,04659498208",0,"0,01075268817",0,"0,4333333333","0,4986320084",1,1,"0,9053561737","-0,00225909851","-0,20147455","-0,003735554958","-0,02944528112","-0,00005834723761",0,"0,03333333333","0,03333333333",0,"-0,05","-0,05"
559,"1,03",0,"0,542039356",0,"0,4436493739",0,"0,3542039356",0,"0,2576028623",0,"0,1735241503",0,"0,09481216458",0,"0,04651162791",0,"0,01073345259",0,"0,4333333333","0,4986320084",0,0,"0,9031222339","-0,002233939852","-0,1848537843","-0,003386186509","-0,01227718487","-0,00002405758417",0,"0,03333333333","0,03333333333",0,"-0,06666666667","-0,05"
560,"1,22",0,"0,5410714286",0,"0,4428571429",0,"0,3535714286",0,"0,2571428571",0,"0,1732142857",0,"0,09464285714",0,"0,04642857143",0,"0,01071428571",0,"0,4333333333","0,4986320084",1,1,"0,900693185","-0,00242904885","-0,1679333523","-0,00303681806","0,005283913893","0,00001023206926",0,"0,01666666667","0,03333333333",0,"-0,06666666667","-0,05"
561,"8,16",0,"0,5401069519",0,"0,4420677362",0,"0,3529411765",0,"0,256684492",0,"0,1729055258",0,"0,0944741533",0,"0,04634581105",0,"0,01069518717",0,"0,4166666667","0,4958847037",1,0,"0,898153178","-0,002540007033","-0,1887086947","-0,00335483293","-0,0115189411","-0,00002193080064","-0,03333333333",0,0,"-0,01666666667","-0,1","-0,05"
562,"1,78",1,"0,5409252669",1,"0,4430604982",1,"0,3540925267",1,"0,2580071174",1,"0,1743772242",0,"0,09430604982",0,"0,0462633452",0,"0,01067615658",1,"0,4","0,4958847037",1,0,"0,8954175532","-0,002735624797","-0,2479352048","-0,00432231479","-0,05386526621","-0,0001012352567","-0,06666666667","-0,03333333333","-0,03333333333","-0,01666666667","-0,1333333333","-0,06666666667"
563,"2,15",1,"0,541740675",0,"0,4422735346",0,"0,3534635879",0,"0,2575488455",0,"0,1740674956",0,"0,09413854352",0,"0,04618117229",0,"0,01065719361",0,"0,4","0,4925677119",0,0,"0,8918065272","-0,003611025941","-0,2812391346","-0,004761264893","-0,06347696424","-0,0001186126356","-0,05","-0,03333333333","-0,01666666667","-0,01666666667","-0,1166666667","-0,06666666667"
564,"1,14",1,"0,5425531915",1,"0,4432624113",0,"0,3528368794",0,"0,2570921986",0,"0,1737588652",0,"0,09397163121",0,"0,04609929078",0,"0,01063829787",1,"0,3833333333","0,4925677119",1,1,"0,898534675","0,006728147775","-0,3725624592","-0,006087073367","-0,1216237847","-0,0002277101674","-0,05","-0,05","-0,03333333333","-0,01666666667","-0,1166666667","-0,08333333333"
565,1,0,"0,5415929204",0,"0,4424778761",0,"0,3522123894",0,"0,2566371681",0,"0,1734513274",0,"0,09380530973",0,"0,04601769912",0,"0,01061946903",0,"0,4","0,4925677119",0,1,"0,9156395946","0,01710491957","-0,3464710256","-0,005227089492","-0,08384756826","-0,0001569442008","-0,03333333333","-0,03333333333",0,0,"-0,1","-0,06666666667"
