t,Entrada,Converte_5,Media_Atual_5,Converte_6,Media_Atual_6,Converte_7,Media_Atual_7,Converte_8,Media_Atual_8,Converte_9,Media_Atual_9,Converte_A,Media_Atual_A,Converte_B,Media_Atual_B,Converte_C,Media_Atual_C,Media_2,Media,,PEARSON,DIFF_PEARSON,,,,,RATING1,RATING2,RATING3,,,
107,"35,57",1,"0,5420560748",1,"0,4859813084",0,"0,3551401869",0,"0,261682243",0,"0,1121495327",0,"0,05607476636",0,"0,01869158879",0,"0,009345794393",1,"0,5333333333","0,5024529992",,,,,,,"-0,01666666667","0,03333333333","0,05","0,05",,
108,"5,59",1,"0,5462962963",1,"0,4907407407",1,"0,3611111111",1,"0,2685185185",1,"0,1203703704",1,"0,06481481481",1,"0,02777777778",0,"0,009259259259",1,"0,5333333333","0,5024529992",,,,,,,0,"0,03333333333","0,05","0,06666666667",,
109,"1,15",1,"0,5504587156",1,"0,495412844",1,"0,3669724771",1,"0,2752293578",0,"0,119266055",0,"0,06422018349",0,"0,02752293578",0,"0,009174311927",1,"0,55","0,5008190014",,,,,,,"0,03333333333","0,03333333333","0,06666666667","0,08333333333",,
110,"34,29",0,"0,5454545455",0,"0,4909090909",0,"0,3636363636",0,"0,2727272727",0,"0,1181818182",0,"0,06363636364",0,"0,02727272727",0,"0,009090909091",0,"0,5666666667","0,5008190014",,,,,,,"0,05","0,03333333333","0,08333333333","0,1",,
111,"2,53",1,"0,5495495495",1,"0,4954954955",1,"0,3693693694",1,"0,2792792793",1,"0,1261261261",1,"0,07207207207",1,"0,03603603604",0,"0,009009009009",1,"0,5666666667","0,4986320084",,,,,,,"0,05","0,01666666667","0,08333333333","0,1166666667",,
112,"11,39",1,"0,5535714286",1,"0,5",0,"0,3660714286",0,"0,2767857143",0,"0,125",0,"0,07142857143",0,"0,03571428571",0,"0,008928571429",1,"0,5666666667","0,4986320084",,,,,,,"0,05","0,01666666667","0,08333333333","0,1",,
113,"1,48",1,"0,5575221239",1,"0,5044247788",1,"0,3716814159",1,"0,2831858407",1,"0,1327433628",1,"0,0796460177",0,"0,03539823009",0,"0,008849557522",1,"0,5666666667","0,4986320084",,,,,,,"0,03333333333","0,01666666667","0,06666666667","0,1",,
114,"1,31",0,"0,5526315789",0,"0,5",0,"0,3684210526",0,"0,2807017544",0,"0,1315789474",0,"0,07894736842",0,"0,0350877193",0,"0,008771929825",0,"0,5666666667","0,5008190014",,,,,,,"0,03333333333","0,03333333333","0,06666666667","0,08333333333",,
115,"8,45",0,"0,547826087",0,"0,4956521739",0,"0,3652173913",0,"0,2782608696",0,"0,1304347826",0,"0,07826086957",0,"0,0347826087",0,"0,008695652174",0,"0,5666666667","0,5008190014",,,,,,,"0,01666666667","0,05","0,06666666667","0,08333333333",,
116,"1,84",1,"0,5517241379",1,"0,5",1,"0,3706896552",1,"0,2844827586",1,"0,1379310345",0,"0,0775862069",0,"0,03448275862",0,"0,008620689655",1,"0,5666666667","0,4986320084",,,,,,,0,"0,05","0,08333333333","0,08333333333",,
117,"1,4",1,"0,5555555556",0,"0,4957264957",0,"0,3675213675",0,"0,2820512821",0,"0,1367521368",0,"0,07692307692",0,"0,03418803419",0,"0,008547008547",0,"0,5666666667","0,5008190014",,,,,,,0,"0,05","0,08333333333","0,08333333333",,
